,start,end,duration
3544,1240563712,1240567808,4096
3545,1240567808,1240571904,4096
3546,1240571904,1240576000,4096
3547,1240576000,1240580096,4096
3548,1240580096,1240584192,4096
3549,1240584192,1240588288,4096
3550,1240588288,1240592384,4096
3551,1240592384,1240596480,4096
3552,1240596480,1240600576,4096
4657,1240600576,1240604672,4096
4655,1240604672,1240606748,2076
4654,1240606814,1240608768,1954
4658,1240608768,1240612864,4096
4648,1240612864,1240613059,195
4656,1240613086,1240616960,3874
4659,1240616960,1240621056,4096
4649,1240621056,1240621302,246
4651,1240624017,1240624399,382
4653,1240624412,1240625152,740
4660,1240625152,1240629248,4096
4661,1240629248,1240633344,4096
4662,1240633344,1240637440,4096
4663,1240637440,1240641536,4096
4664,1240641536,1240645632,4096
4665,1240645632,1240649728,4096
4666,1240649728,1240653824,4096
4667,1240653824,1240657920,4096
4668,1240657920,1240662016,4096
4669,1240662016,1240666112,4096
4670,1240666112,1240670208,4096
4652,1240670208,1240670803,595
4650,1240698508,1240698880,372
4671,1240698880,1240702976,4096
6041,1240702976,1240707072,4096
6042,1240707072,1240711168,4096
6043,1240711168,1240715264,4096
6044,1240715264,1240719360,4096
6045,1240719360,1240723456,4096
6046,1240723456,1240727552,4096
6047,1240727552,1240731648,4096
6048,1240731648,1240735744,4096
6049,1240735744,1240739840,4096
6050,1240739840,1240743936,4096
6051,1240743936,1240748032,4096
6052,1240748032,1240752128,4096
6053,1240752128,1240756224,4096
6054,1240756224,1240760320,4096
6039,1240760320,1240763989,3669
6035,1240764331,1240764416,85
6055,1240764416,1240768512,4096
6040,1240768512,1240772399,3887
6038,1240781985,1240784896,2911
6036,1240784896,1240786108,1212
6037,1240795605,1240797184,1579
6056,1240797184,1240801280,4096
981,1240801280,1240805376,4096
982,1240805376,1240809472,4096
983,1240809472,1240813568,4096
973,1240813568,1240814243,675
972,1240821139,1240821760,621
984,1240821760,1240825856,4096
985,1240825856,1240829952,4096
986,1240829952,1240834048,4096
987,1240834048,1240838144,4096
988,1240838144,1240842240,4096
977,1240842240,1240844083,1843
971,1240849944,1240850432,488
980,1240850432,1240853585,3153
975,1240853610,1240854528,918
974,1240854528,1240855236,708
978,1240860330,1240862720,2390
989,1240862720,1240866816,4096
976,1240866816,1240867962,1146
979,1240872261,1240875008,2747
990,1240875008,1240879104,4096
991,1240879104,1240883200,4096
992,1240883200,1240887296,4096
993,1240887296,1240891392,4096
994,1240891392,1240895488,4096
995,1240895488,1240899584,4096
996,1240899584,1240903680,4096
1741,1240903680,1240907776,4096
1742,1240907776,1240911872,4096
1743,1240911872,1240915968,4096
1738,1240915968,1240919356,3388
1737,1240919428,1240920064,636
1744,1240920064,1240924160,4096
1745,1240924160,1240928256,4096
1746,1240928256,1240932352,4096
1747,1240932352,1240936448,4096
1748,1240936448,1240940544,4096
1740,1240940621,1240944640,4019
1749,1240944640,1240948736,4096
1750,1240948736,1240952832,4096
1751,1240952832,1240956928,4096
1752,1240956928,1240961024,4096
1736,1240961024,1240961211,187
1739,1240961309,1240965120,3811
1753,1240965120,1240969216,4096
1754,1240969216,1240973312,4096
1755,1240973312,1240977408,4096
1756,1240977408,1240981504,4096
1757,1240981504,1240985600,4096
1758,1240985600,1240989696,4096
1759,1240989696,1240993792,4096
1760,1240993792,1240997888,4096
1761,1240997888,1241001984,4096
3064,1241001984,1241002495,511
3072,1241002600,1241006080,3480
3073,1241006080,1241010176,4096
3066,1241010176,1241011102,926
3070,1241068861,1241071616,2755
3068,1241071616,1241073789,2173
3065,1241073881,1241074723,842
3071,1241088652,1241092096,3444
3063,1241092096,1241092348,252
