,start,end,duration
2926,1239669766,1239670127,361
2923,1239670246,1239670417,171
2925,1239670510,1239670784,274
2937,1239670784,1239674880,4096
2938,1239674880,1239678976,4096
2939,1239678976,1239683072,4096
2940,1239683072,1239687168,4096
2930,1239687168,1239690591,3423
2924,1239690995,1239691264,269
2927,1239691264,1239692075,811
6135,1239730999,1239732224,1225
6137,1239732224,1239734731,2507
6131,1239736176,1239736320,144
6139,1239736320,1239739351,3031
6133,1239739391,1239740416,1025
6140,1239740416,1239744062,3646
6136,1239746131,1239748608,2477
6141,1239748608,1239752704,4096
6142,1239752704,1239756800,4096
6143,1239756800,1239760896,4096
6134,1239760896,1239762092,1196
6132,1239769189,1239769392,203
6138,1239770547,1239773184,2637
6144,1239773184,1239777280,4096
6145,1239777280,1239781376,4096
6146,1239781376,1239785472,4096
6147,1239785472,1239789568,4096
6148,1239789568,1239793664,4096
6149,1239793664,1239797760,4096
6150,1239797760,1239801856,4096
2020,1239801856,1239805952,4096
2018,1239805952,1239806987,1035
2019,1239824770,1239826432,1662
2021,1239826432,1239830528,4096
2022,1239830528,1239834624,4096
2023,1239834624,1239838720,4096
2024,1239838720,1239842816,4096
2025,1239842816,1239846912,4096
2026,1239846912,1239851008,4096
2027,1239851008,1239855104,4096
2028,1239855104,1239859200,4096
2029,1239859200,1239863296,4096
2030,1239863296,1239867392,4096
2031,1239867392,1239871488,4096
2032,1239871488,1239875584,4096
2033,1239875584,1239879680,4096
2034,1239879680,1239883776,4096
2035,1239883776,1239887872,4096
2036,1239887872,1239891968,4096
2037,1239891968,1239896064,4096
2038,1239896064,1239900160,4096
6160,1239900160,1239904256,4096
6161,1239904256,1239908352,4096
6162,1239908352,1239912448,4096
6163,1239912448,1239916544,4096
6164,1239916544,1239920640,4096
6165,1239920640,1239924736,4096
6154,1239924736,1239926064,1328
6153,1239931760,1239932928,1168
6166,1239932928,1239937024,4096
6167,1239937024,1239941120,4096
6168,1239941120,1239945216,4096
6169,1239945216,1239949312,4096
6170,1239949312,1239953408,4096
6171,1239953408,1239957504,4096
6172,1239957504,1239961600,4096
6157,1239961600,1239964147,2547
6158,1239970942,1239973888,2946
6173,1239973888,1239977984,4096
6156,1239977984,1239980487,2503
6159,1239982548,1239986176,3628
6174,1239986176,1239990272,4096
6151,1239990272,1239991140,868
6152,1239993455,1239994368,913
6175,1239994368,1239998464,4096
6155,1239998464,1240000760,2296
1709,1240014303,1240014848,545
1719,1240014848,1240018944,4096
1720,1240018944,1240023040,4096
1711,1240023040,1240023887,847
1708,1240027904,1240028144,240
1706,1240028265,1240028321,56
1716,1240029030,1240031232,2202
1721,1240031232,1240035328,4096
1714,1240035328,1240036764,1436
1710,1240042865,1240043520,655
1722,1240043520,1240047616,4096
1723,1240047616,1240051712,4096
1724,1240051712,1240055808,4096
1725,1240055808,1240059904,4096
1712,1240059904,1240061297,1393
1707,1240079384,1240079482,98
1718,1240080627,1240084480,3853
1717,1240084480,1240086780,2300
1715,1240086852,1240088576,1724
1713,1240088576,1240089990,1414
3905,1240108435,1240108582,147
3909,1240109258,1240113152,3894
3910,1240113152,1240117248,4096
3911,1240117248,1240121344,4096
3912,1240121344,1240125440,4096
3913,1240125440,1240129536,4096
3914,1240129536,1240133632,4096
3915,1240133632,1240137728,4096
3916,1240137728,1240141824,4096
3917,1240141824,1240145920,4096
3918,1240145920,1240150016,4096
3919,1240150016,1240154112,4096
3920,1240154112,1240158208,4096
3921,1240158208,1240162304,4096
3922,1240162304,1240166400,4096
3923,1240166400,1240170496,4096
3906,1240170496,1240171245,749
3904,1240176221,1240176240,19
3908,1240176278,1240178398,2120
3907,1240181254,1240182784,1530
3924,1240182784,1240186880,4096
3925,1240186880,1240190976,4096
3926,1240190976,1240195072,4096
3927,1240195072,1240199168,4096
3928,1240199168,1240203264,4096
4479,1240203264,1240207360,4096
4480,1240207360,1240211456,4096
4481,1240211456,1240215552,4096
4482,1240215552,1240219648,4096
4483,1240219648,1240223744,4096
4484,1240223744,1240227840,4096
4485,1240227840,1240231936,4096
4486,1240231936,1240236032,4096
4487,1240236032,1240240128,4096
4488,1240240128,1240244224,4096
4489,1240244224,1240248320,4096
4490,1240248320,1240252416,4096
4491,1240252416,1240256512,4096
4477,1240256512,1240256853,341
4478,1240258740,1240260608,1868
4492,1240260608,1240264704,4096
4493,1240264704,1240268800,4096
4494,1240268800,1240272896,4096
4495,1240272896,1240276992,4096
4496,1240276992,1240281088,4096
4497,1240281088,1240285184,4096
4498,1240285184,1240289280,4096
4499,1240289280,1240293376,4096
4500,1240293376,1240297472,4096
4501,1240297472,1240301568,4096
1516,1240301568,1240305664,4096
1514,1240305664,1240305731,67
1515,1240305825,1240309760,3935
1517,1240309760,1240313856,4096
1518,1240313856,1240317952,4096
1519,1240317952,1240322048,4096
1520,1240322048,1240326144,4096
