,start,end,duration
15127,1238654000,1238656000,2000
15128,1238656000,1238658000,2000
15129,1238658000,1238660000,2000
15130,1238660000,1238662000,2000
15131,1238662000,1238664000,2000
15132,1238664000,1238666000,2000
15133,1238666000,1238668000,2000
15134,1238668000,1238670000,2000
15135,1238670000,1238672000,2000
15136,1238672000,1238674000,2000
15137,1238674000,1238676000,2000
15138,1238676000,1238678000,2000
15139,1238678000,1238680000,2000
15140,1238680000,1238682000,2000
15141,1238682000,1238684000,2000
15142,1238684000,1238686000,2000
15143,1238686000,1238688000,2000
15144,1238688000,1238690000,2000
15145,1238690000,1238692000,2000
15146,1238692000,1238694000,2000
15147,1238694000,1238696000,2000
15148,1238696000,1238698000,2000
15149,1238698000,1238700000,2000
2482,1238700000,1238702000,2000
2483,1238702000,1238704000,2000
2484,1238704000,1238706000,2000
2485,1238706000,1238708000,2000
2486,1238708000,1238710000,2000
2487,1238710000,1238712000,2000
2488,1238712000,1238714000,2000
2489,1238714000,1238716000,2000
2490,1238716000,1238718000,2000
2491,1238718000,1238720000,2000
2492,1238720000,1238722000,2000
2493,1238722000,1238724000,2000
2494,1238724000,1238726000,2000
2495,1238726000,1238728000,2000
2496,1238728000,1238730000,2000
2497,1238730000,1238732000,2000
2498,1238732000,1238734000,2000
2499,1238734000,1238736000,2000
2500,1238736000,1238738000,2000
2501,1238738000,1238740000,2000
2502,1238740000,1238742000,2000
2503,1238742000,1238744000,2000
2504,1238744000,1238746000,2000
2505,1238746000,1238748000,2000
2506,1238748000,1238750000,2000
2507,1238750000,1238752000,2000
2508,1238752000,1238754000,2000
2509,1238754000,1238756000,2000
2510,1238756000,1238758000,2000
2511,1238758000,1238760000,2000
2512,1238760000,1238762000,2000
2513,1238762000,1238764000,2000
2514,1238764000,1238766000,2000
2515,1238766000,1238768000,2000
2516,1238768000,1238770000,2000
2517,1238770000,1238772000,2000
2518,1238772000,1238774000,2000
2519,1238774000,1238776000,2000
2520,1238776000,1238778000,2000
2521,1238778000,1238780000,2000
2522,1238780000,1238782000,2000
2523,1238782000,1238784000,2000
2524,1238784000,1238786000,2000
2525,1238786000,1238788000,2000
2526,1238788000,1238790000,2000
2527,1238790000,1238792000,2000
2528,1238792000,1238794000,2000
2529,1238794000,1238796000,2000
2530,1238796000,1238798000,2000
2531,1238798000,1238800000,2000
9782,1238800000,1238802000,2000
9783,1238802000,1238804000,2000
9784,1238804000,1238806000,2000
9785,1238806000,1238808000,2000
9786,1238808000,1238810000,2000
9787,1238810000,1238812000,2000
9788,1238812000,1238814000,2000
9789,1238814000,1238816000,2000
9790,1238816000,1238818000,2000
9791,1238818000,1238820000,2000
9792,1238820000,1238822000,2000
9793,1238822000,1238824000,2000
9794,1238824000,1238826000,2000
9795,1238826000,1238828000,2000
9796,1238828000,1238830000,2000
9797,1238830000,1238832000,2000
9798,1238832000,1238834000,2000
9799,1238834000,1238836000,2000
9800,1238836000,1238838000,2000
9801,1238838000,1238840000,2000
9802,1238840000,1238842000,2000
9803,1238842000,1238844000,2000
9804,1238844000,1238846000,2000
9805,1238846000,1238848000,2000
9806,1238848000,1238850000,2000
9807,1238850000,1238852000,2000
9808,1238852000,1238854000,2000
9809,1238854000,1238856000,2000
9810,1238856000,1238858000,2000
9811,1238858000,1238860000,2000
9812,1238860000,1238862000,2000
9813,1238862000,1238864000,2000
9814,1238864000,1238866000,2000
9815,1238866000,1238868000,2000
9816,1238868000,1238870000,2000
9817,1238870000,1238872000,2000
9818,1238872000,1238874000,2000
9819,1238874000,1238876000,2000
9820,1238876000,1238878000,2000
9821,1238878000,1238880000,2000
9822,1238880000,1238882000,2000
9823,1238882000,1238884000,2000
9824,1238884000,1238886000,2000
9825,1238886000,1238888000,2000
9826,1238888000,1238890000,2000
9827,1238890000,1238892000,2000
9828,1238892000,1238894000,2000
9829,1238894000,1238896000,2000
9830,1238896000,1238898000,2000
9831,1238898000,1238900000,2000
13150,1238900000,1238902000,2000
13151,1238902000,1238904000,2000
13152,1238904000,1238906000,2000
13153,1238906000,1238908000,2000
13154,1238908000,1238910000,2000
13155,1238910000,1238912000,2000
13156,1238912000,1238914000,2000
13157,1238914000,1238916000,2000
13158,1238916000,1238918000,2000
13159,1238918000,1238920000,2000
13160,1238920000,1238922000,2000
13161,1238922000,1238924000,2000
13162,1238924000,1238926000,2000
13163,1238926000,1238928000,2000
13164,1238928000,1238930000,2000
13165,1238930000,1238932000,2000
