,commonName,GPS,network_matched_filter_snr,chirp_mass_source,mass_1_source,mass_2_source,pastro
506500,190425_081805,1240215503.0185547,12.000616389018758,1.4875544,1.7057296,1.7117795,0.5
509019,190426_053949,1240292407.2126465,8.07355357894887,17.718822,20.686354,20.027212,0.4
512961,190427_180650,1240423628.675537,9.014073298483742,8.767833,13.0195,7.8885508,0.53
529299,190503_185404,1240944862.2910156,11.891828353803772,41.821777,46.90803,49.20614,1.0
545909,190509_004120,1241397698.7861328,7.790594305225218,25.37598,30.131218,28.205614,0.37
558432,190512_180714,1241719652.420166,12.361156730755063,18.537653,18.670063,24.373281,1.0
561212,190513_205428,1241816086.7423503,12.397969264523283,28.487339,23.71244,46.15268,1.0
562164,190514_065416,1241852074.847412,8.104672157941573,54.503036,66.24957,59.203125,0.82
566736,190517_055101,1242107479.8339844,10.488741420790793,38.832508,48.38132,41.180195,1.0
572167,190519_153544,1242315362.3842773,12.179855287392446,9.907123,106.84308,2.0424724,1.0
572926,190519_231324,1242342822.0683594,8.205277674224506,6.596117,6.592171,8.743524,0.26
575710,190521_030229,1242442967.4423828,14.631309210575662,103.88458,156.89229,92.04818,1.0
576180,190521_074359,1242459857.4658203,24.235858486707656,40.622017,49.812782,43.748158,1.0
589641,190527_092055,1242984073.7929688,8.673219021224643,34.930088,34.54296,46.822304,0.94
595140,190530_030659,1243220837.9682617,7.843390325673797,29.867844,26.323776,45.3766,0.44
604022,190602_175927,1243533585.0986328,12.483698489586631,61.311172,52.15093,96.9261,1.0
647014,190620_030421,1245035079.3115234,11.255188404199354,49.06959,45.102196,71.17369,0.72537166
670432,190630_135302,1245938000.4853516,7.730160516098716,21.646109,32.647945,19.202679,0.26
670916,190630_185205,1245955943.1782227,15.231394312184916,27.773735,32.697704,31.132599,1.0
673598,190701_203306,1246048404.580241,12.174680111687719,60.32217,64.971504,73.96176,1.0
678224,190704_104834,1246272532.9189453,8.951531004946744,4.548931,5.030348,5.4294915,0.27
683460,190706_222641,1246487219.3273926,12.76970816857359,68.46917,58.99522,106.68345,1.0
684416,190707_071722,1246519060.1010742,8.34234937956373,10.635677,10.65388,14.063826,0.32
684655,190707_093326,1246527224.1708984,12.447504041154064,10.15056,4.1942854,40.161335,1.0
688006,190708_232457,1246663515.3842773,12.716262824464652,15.571671,18.176466,17.603342,0.72942364
